Distnict,City
Finfine Special,Sululta
Finfine Special,Welmera
Finfine Special,Mulo
Finfine Special,Sendafa town
Finfine Special,Holeta town
Finfine Special,Gelana (Finfine)
East Bale,Gololcha Bale
East Bale,Lege Hida
East Bale,Ginir
East Bale,Rayitu
East Bale,Seweyna
East Bale,Dawe Ketchen
East Bale,Ginir town
Siti,Ayisha
Siti,Dembel
Siti,Shinile
Siti,Erer (SM)
Siti,Afdem
Siti,Hadhagala
Siti,Miesso
Siti,Gota-Biki
Siti,Gablalu
Fafan,Gursum (SM)
Fafan,Babile (SM)
Fafan,Shabeeley
Fafan,Aw-Bare
Fafan,Kebribeyah
Fafan,Harshin
Fafan,Tuliguled
Fafan,Goljano
Fafan,Jigjiga town
Fafan,Wajale town
Fafan,Kebribayah town
Fafan,Koran /Mulla
Fafan,Haroreys
Fafan,Harawo
Jarar,Degehamedo
Jarar,Degehabur
Jarar,Aware
Jarar,Gashamo
Jarar,Gunagado
Jarar,Bilcil-Bur
Jarar,Degahabur town
Jarar,Yocale
Jarar,Daror
Jarar,Burqod
Jarar,Ararso
Jarar,Dig
Erer,Fik
Erer,Salahad
Erer,Hamero
Erer,Lagahida
Erer,Meyumuluka
Erer,Qubi
Erer,Yahob
Erer,Wangey
Korahe,Shaygosh
Korahe,Kebridehar
Korahe,Shilabo
Korahe,Debeweyin
Korahe,Marsin
Korahe,Kebridehar town
Korahe,Goglo
Korahe,Lasdhankayre
Korahe,Higloley
Korahe,El-Ogaden
Korahe,Bodaley
Shabelle,East Imi
Shabelle,Adadle
Shabelle,Danan
Shabelle,Gode
Shabelle,Kelafo
Shabelle,Mustahil
Shabelle,Ferfer
Shabelle,Berocano
Shabelle,Godey town
Shabelle,Elale
Shabelle,Aba-Korow
Doolo,Danod
Doolo,Bokh
Doolo,Galadi
Doolo,Warder
Doolo,Daratole
Doolo,Lehel-Yucub
Doolo,Galhamur
